"nome","resumo","coordenador"
"EDUCAÇÃO E COMUNICAÇÃO PELAS IMAGENS: CARTOGRAFIA ESCOLAR SEUS MULTILETRAMENTOS E PRÁTICAS SOCIAIS","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"CARTOGRAFIAS HISTÓRICAS NA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"FORMAS SIMBÓLICAS ESPACIAIS DO SAMBA","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"EDUCAÇÃO E COMUNICAÇÃO PELAS IMAGENS E SUAS CARTOGRAFIAS SUBALTERNIZADAS","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"A GÊNESE DA CONSCIÊNCIA CARTOGRÁFICA NA CRIANÇA","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"MUDANÇAS GLOBAIS E REALIDADES LOCAIS:A FRONTEIRA DA CIÊNCIA COMO INSTRUMENTO À DIVULGAÇÃO CIENTÍFICA","Em breve este conteúdo estará disponível.","Rodrigo Coutinho Abuchacra "
"MONITORIA DA DISCIPLINA GEOMORFOLOGIA CONTINENTAL","Em breve este conteúdo estará disponível.","Rodrigo Wagner Paixão Pinto "
"MORFOGÊNESE DA SERRA DO MAR NO ESTADO DO RIO DE JANEIRO: MECANISMOS DE REORDENAMENTO FLUVIAL","Em breve este conteúdo estará disponível.","Rodrigo Wagner Paixão Pinto "
"PRODUÇÃO DE ROTEIROS PEDAGÓGICOS GEOGRÁFICOS: TRABALHO DE CAMPO FUNDAMENTAL NA FORMAÇÃO DE GEÓGRAFOS","Em breve este conteúdo estará disponível.","Simone Lisboa Dos Santos Da Silva "
"MONITORIA DE APOIO DA DISCIPLINA GEOMORFOLOGIA COSTEIRA 2024-2025","Em breve este conteúdo estará disponível.","Thiago Gonçalves Pereira "
"PROCESSOS DE FORMAÇÃO E TRANSFORMAÇÃO DAS DUNAS COSTEIRAS NO LITORAL DE CABO FRIO/RJ","Em breve este conteúdo estará disponível.","Thiago Gonçalves Pereira "
"NOVAS E VELHAS DINÂMICAS PROMOTORAS DE DESIGUALDADES NO BRASIL: UM OLHAR ATRAVÉS DA REGIÃO","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"GEOGRAFIA DO MUNDO CONTEMPORÂNEO: UM OLHAR DESDE AS SEMIPERIFERIAS E DAS PERIFERIAS","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"(IN)JUSTIÇA E RACISMO AMBIENTAL NA PERIFERIA CARIOCA: IMPACTOS URBANO-AMBIENTAIS EM SANTA CRUZ-RJ","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"PROJETO INICIAÇÃO À DOCÊNCIA EM GEOGRAFIA: A SIMULAÇÃO DA ONU COMO ESTRATÉGIA PEDAGÓGICA NO CAP-UERJ","Em breve este conteúdo estará disponível.","Tiago Santos De Vasconcelos "
"SUPORTE EM GEOPROCESSAMENTO PARA O LABORATÓRIO DE GEOGRAFIA HUMANA","Em breve este conteúdo estará disponível.","Ulisses Da Silva Fernandes "
"A INCLUSÃO NO ENSINO DE GEOGRAFIA E A COGNIÇÃO ESPACIAL DOS ALUNOS CEGOS OU COM BAIXA VISÃO","Em breve este conteúdo estará disponível.","Vânia Regina Jorge Da Silva "
"GEOPOLÍTICA DA EUROPA FRENTE AO AVANÇO EURASIANO: PERSPECTIVAS A PARTIR DAS AÇÕES COMUNITÁRIAS","Em breve este conteúdo estará disponível.","Vitor Stuart Gabriel De Pieri "
